Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Jackson Stephens,Sinker,51,92.663,94.9,1910.059,7.725,-15.666,6.061,5.502,110.818,78.053,0.317,-0.464,27.45,3.92,31.37,-0.91
Jacob Barnes,Cutter,97,88.992,92.5,2237.691,5.389,5.068,5.714,6.777,112.822,83.308,0.278,2.379,11.34,12.37,23.71,2.453
Jacob Barnes,FourSeam,105,94.796,96.9,2352.676,16.52,-1.549,5.846,6.696,122.911,86.572,0.367,1.854,15.24,8.57,23.81,1.766
Jake Bird,Curveball,276,81.682,84.0,2861.033,-8.074,15.408,5.51,5.875,123.36,78.308,0.331,-2.753,17.03,16.67,33.7,-0.997
Jake Bird,Cutter,198,89.536,92.6,2441.783,6.207,4.045,5.359,5.813,130.93,81.702,0.433,4.101,22.73,9.6,32.33,2.071
Jake Bird,Sinker,824,94.406,97.5,2007.299,0.857,-8.749,5.173,5.709,130.992,85.844,0.355,2.988,17.6,5.46,23.06,0.363
Jake Bird,Slider,85,86.086,87.8,2528.835,1.902,6.46,5.195,5.721,121.787,81.911,0.394,0.566,28.24,14.12,42.36,0.666
Jake Cousins,Sinker,59,94.773,96.3,2307.339,7.202,-17.583,5.435,6.931,149.675,81.522,0.293,0.491,22.03,1.69,23.72,0.832
Jake Cousins,Slider,110,81.758,83.7,2635.1,-0.779,11.32,5.378,6.974,137.827,80.526,0.493,1.033,18.18,14.55,32.73,0.939
Jake Irvin,Changeup,104,87.725,91.3,2210.76,7.008,-15.843,5.923,6.706,122.627,80.324,0.398,1.06,21.15,6.73,27.88,1.019
Jake Irvin,Curveball,655,80.892,85.5,2407.415,-5.191,12.534,5.793,6.737,112.552,81.479,0.326,-2.14,19.54,9.92,29.46,-0.327
Jake Irvin,FourSeam,763,94.482,98.2,2332.84,15.068,-10.534,5.969,6.793,105.391,82.708,0.368,-4.681,14.29,7.34,21.63,-0.613
Jake Irvin,Sinker,616,93.869,97.9,2275.893,8.066,-16.52,5.846,6.814,120.584,85.643,0.42,6.784,22.56,3.9,26.46,1.101
Jake Woodford,Curveball,92,76.258,79.6,2417.565,-14.139,10.893,5.54,6.372,111.91,75.113,0.41,2.286,14.13,6.52,20.65,2.485
Jake Woodford,Cutter,51,89.841,92.1,2320.608,8.141,0.894,5.366,6.402,95.566,78.184,0.29,0.918,15.69,7.84,23.53,1.8
Jake Woodford,FourSeam,60,92.348,94.8,2189.183,13.414,-5.792,5.445,6.638,96.329,88.061,0.929,6.032,11.67,10.0,21.67,10.053
Jake Woodford,Sinker,427,91.926,96.1,2038.309,6.027,-13.353,5.289,6.598,93.478,85.188,0.416,2.47,26.0,3.51,29.51,0.578
Jake Woodford,Sweeper,191,81.696,84.5,2565.031,-2.563,12.489,5.275,6.376,97.611,87.443,0.372,2.642,13.09,8.38,21.47,1.383
Jakob Junis,Changeup,137,87.139,90.1,1360.606,2.622,-12.18,5.852,6.013,99.167,82.833,0.382,1.424,10.95,10.22,21.17,1.039
Jakob Junis,Sinker,351,93.685,96.8,2184.117,6.854,-13.658,5.732,6.188,107.537,84.81,0.387,8.694,23.65,6.27,29.92,2.477
Jakob Junis,Slider,858,84.207,88.7,2462.114,0.301,13.111,5.847,5.89,107.09,81.652,0.376,-4.528,20.98,14.57,35.55,-0.528
James Naile,Curveball,119,83.061,86.2,2686.916,-2.875,15.574,5.713,6.414,140.143,84.2,0.394,1.22,21.01,6.72,27.73,1.025
James Naile,Sinker,170,91.712,94.4,1616.518,3.608,-13.33,5.921,6.524,178.694,86.124,0.408,6.631,15.88,4.71,20.59,3.901
Jameson Taillon,Changeup,78,86.483,89.9,1866.59,9.934,-14.466,5.991,6.574,100.664,80.735,0.3,0.853,7.69,5.13,12.82,1.094
Jameson Taillon,Curveball,382,80.519,84.2,2726.081,-9.836,10.384,6.101,6.64,114.16,82.846,0.377,0.706,19.11,8.12,27.23,0.185
Jameson Taillon,Cutter,561,88.593,92.7,2544.478,11.207,4.037,5.977,6.624,112.781,82.262,0.413,5.074,17.47,12.12,29.59,0.904
Jameson Taillon,FourSeam,855,93.684,95.8,2328.759,16.883,-7.627,6.004,6.737,109.25,85.207,0.503,9.61,17.78,8.42,26.2,1.124
Jameson Taillon,Sinker,268,93.973,95.8,2269.873,14.097,-13.686,6.015,6.707,112.033,82.343,0.345,0.561,18.28,5.6,23.88,0.209
Jameson Taillon,Sweeper,374,80.878,84.0,2706.267,1.763,14.571,6.01,6.655,110.388,76.256,0.32,-3.16,12.3,15.24,27.54,-0.845
Janson Junk,FourSeam,55,92.564,95.8,2282.673,18.266,-4.207,5.807,6.516,99.864,77.674,0.284,0.001,16.36,5.45,21.81,0.002
Jared Shuster,Changeup,198,82.198,85.3,1513.293,10.088,9.931,5.665,6.704,123.893,79.85,0.345,4.775,5.05,15.66,20.71,2.412
Jared Shuster,FourSeam,380,91.358,93.5,2122.7,14.981,8.171,5.643,6.586,76.852,83.697,0.39,5.567,21.32,3.42,24.74,1.465
Jared Shuster,Slider,284,84.938,88.6,2200.352,5.333,-2.645,5.649,6.66,114.75,81.146,0.328,-3.113,16.55,11.62,28.17,-1.096
Javier Assad,Changeup,68,84.991,88.2,1430.397,9.097,-12.983,5.968,6.4,91.324,81.429,0.418,1.539,2.94,8.82,11.76,2.263
Javier Assad,Curveball,91,76.591,80.8,2321.835,-9.061,9.361,6.075,6.315,83.119,80.261,0.423,2.267,8.79,10.99,19.78,2.491
Javier Assad,Cutter,469,89.089,93.7,2045.616,8.114,3.245,5.942,6.413,87.663,82.303,0.364,-5.781,16.42,7.25,23.67,-1.233
Javier Assad,FourSeam,328,93.075,95.6,2092.665,15.846,-5.315,6.002,6.385,91.553,82.689,0.407,-0.118,22.87,5.49,28.36,-0.036
Javier Assad,Sinker,524,92.681,96.4,1931.609,10.693,-13.793,6.045,6.45,87.056,82.767,0.371,-12.316,21.56,5.73,27.29,-2.35
Javier Assad,Slider,225,80.59,84.5,2343.831,0.686,13.436,5.967,6.444,99.646,73.82,0.298,-0.067,12.44,14.22,26.66,-0.03
